iter	RMSE
0	5.579525578
1	5.40254656
2	5.243160888
3	5.096073133
4	4.951972074
5	4.820052361
6	4.693319946
7	4.572888728
8	4.461911095
9	4.352815803
10	4.254690594
11	4.158557247
12	4.073825341
13	4.002172468
14	3.921777107
15	3.855315101
16	3.789553555
17	3.729421766
18	3.669758115
19	3.613060086
20	3.562993199
21	3.517016271
22	3.47310563
23	3.434811353
24	3.395680715
25	3.360696679
26	3.328097634
27	3.298404715
28	3.270924731
29	3.246454638
30	3.221188095
31	3.198926581
32	3.178889363
33	3.159983323
34	3.141928416
35	3.124462974
36	3.109936324
37	3.096073745
38	3.083258209
39	3.071663721
40	3.059653846
41	3.048555167
42	3.038852073
43	3.028657981
44	3.022132222
45	3.014635475
46	3.007087904
47	3.00035948
48	2.994295579
49	2.987921963
50	2.982884589
51	2.977828048
52	2.974074962
53	2.968628504
54	2.964017
55	2.959913938
56	2.955985308
57	2.953600477
58	2.950770601
59	2.947946155
60	2.945092716
61	2.941657037
62	2.939893002
63	2.936719984
64	2.93346744
65	2.931114087
66	2.92907469
67	2.927209944
68	2.925343285
69	2.923480058
70	2.920708231
71	2.918342386
72	2.915898978
73	2.913879088
74	2.912209227
75	2.909871118
76	2.908035841
77	2.906447599
78	2.905177443
79	2.90318298
80	2.90203439
81	2.900276906
82	2.8986048
83	2.897603652
84	2.896781128
85	2.89516138
86	2.89408303
87	2.89293361
88	2.892387005
89	2.891354581
90	2.890804754
91	2.890060533
92	2.888821745
93	2.887792889
94	2.886668975
95	2.885415649
96	2.884165497
97	2.883391288
98	2.882019591
99	2.881453751
100	2.880558143
101	2.879327356
102	2.87815698
103	2.87764026
104	2.877246789
105	2.876471956
106	2.876080008
107	2.875585369
108	2.875255534
109	2.873664009
110	2.872973037
111	2.872442798
112	2.872051891
113	2.871356759
114	2.87095394
115	2.869806469
116	2.869348211
117	2.868231
118	2.867154843
119	2.867000148
120	2.866194793
121	2.86547067
122	2.86463785
123	2.864013753
124	2.863627475
125	2.862802233
126	2.862158239
127	2.861586275
128	2.861301655
129	2.860482199
130	2.859711229
131	2.85913985
132	2.858186629
133	2.857612872
134	2.856577191
135	2.855390976
136	2.854921538
137	2.85399931
138	2.852832384
139	2.852208482
140	2.85173818
141	2.850679518
142	2.849897303
143	2.849366812
144	2.849019813
145	2.848450881
146	2.847774353
147	2.847110243
148	2.846416603
149	2.845785304
150	2.845231373
151	2.844379965
152	2.843898285
153	2.843100556
154	2.842565793
155	2.842388309
156	2.841555909
157	2.84114851
158	2.840614957
159	2.839792592
160	2.838242481
161	2.837671427
162	2.83662103
163	2.836373429
164	2.835833364
165	2.83517883
166	2.834263254
167	2.833835363
168	2.832685298
169	2.832138596
170	2.831342225
171	2.830257017
172	2.829217118
173	2.828075635
174	2.827599708
175	2.826977927
176	2.826152475
177	2.825747603
178	2.825137179
179	2.824349504
180	2.823422386
181	2.822564047
182	2.822159988
183	2.821509396
184	2.820544241
185	2.820047206
186	2.819190021
187	2.818727287
188	2.817789933
189	2.817333902
190	2.816800161
191	2.815760797
192	2.815003235
193	2.814158553
194	2.813770081
195	2.813066384
196	2.812057153
197	2.811303417
198	2.810581705
199	2.809169345
200	2.808569615
201	2.807855471
202	2.807229442
203	2.806732039
204	2.806041695
205	2.805218204
206	2.804846503
207	2.80423715
208	2.803650793
209	2.803087035
210	2.802400877
211	2.801510923
212	2.800190025
213	2.799809995
214	2.798980244
215	2.79862167
216	2.797782053
217	2.79744195
218	2.796606149
219	2.795625916
220	2.795347617
221	2.794677188
222	2.794216838
223	2.793943069
224	2.793538961
225	2.79289732
226	2.792133442
227	2.791609346
228	2.790712596
229	2.789882362
230	2.789246796
231	2.788457694
232	2.78804458
233	2.787558553
234	2.786424707
235	2.785821835
236	2.784818786
237	2.784396784
238	2.783879114
239	2.783484791
240	2.782522835
241	2.7820659
242	2.781677385
243	2.780128639
244	2.779640687
245	2.779279894
246	2.778565712
247	2.778106511
248	2.777643785
249	2.776978489
250	2.776729839
251	2.776028635
252	2.77586384
253	2.775488435
254	2.774650486
255	2.774075736
256	2.773676375
257	2.773253456
258	2.772878574
259	2.772330421
260	2.771163029
261	2.769665179
262	2.769223015
263	2.76868318
264	2.767972311
265	2.767464823
266	2.766812631
267	2.76637734
268	2.765999771
269	2.765685574
270	2.765349518
271	2.764576938
272	2.764236804
273	2.763626273
274	2.763043719
275	2.762522337
276	2.762249976
277	2.761572361
278	2.761225318
279	2.760884617
280	2.760338893
281	2.759980058
282	2.759817877
283	2.759665083
284	2.758908372
285	2.758533294
286	2.758228141
287	2.757884684
288	2.75731956
289	2.75686237
290	2.756560362
291	2.755743998
292	2.754762978
293	2.754390402
294	2.753700945
295	2.752920165
296	2.752020674
297	2.751150407
298	2.750922627
299	2.750271733
300	2.749817731
301	2.749322879
302	2.748137465
303	2.747741167
304	2.747341548
305	2.746945767
306	2.746594208
307	2.746258285
308	2.746008799
309	2.745693493
310	2.745086018
311	2.744332496
312	2.743926185
313	2.743477806
314	2.743085774
315	2.741926063
316	2.741488778
317	2.741346361
318	2.741046997
319	2.74065919
320	2.740518501
321	2.73928058
322	2.738786682
323	2.73836088
324	2.73795533
