iter	Logloss
0	0.6906760392
1	0.6881916305
2	0.6857680467
3	0.6833447645
4	0.6807248493
5	0.6785102002
6	0.6760275442
7	0.673229198
8	0.6710152916
9	0.6684667203
10	0.6659503681
11	0.6636191238
12	0.6610180446
13	0.6585267747
14	0.6562459688
15	0.6538202519
16	0.6515225001
17	0.6492067978
18	0.6467515854
19	0.6443107793
20	0.6420056839
21	0.6397561838
22	0.6374142787
23	0.6350069944
24	0.6326455726
25	0.6302547675
26	0.627755856
27	0.6255310037
28	0.6233788727
29	0.6212081269
30	0.6189461965
31	0.6166043861
32	0.6143334563
33	0.6118873813
34	0.6095842347
35	0.6069823731
36	0.6047703069
37	0.602734738
38	0.6006262726
39	0.5981618973
40	0.5962733611
41	0.5939685276
42	0.5919411041
43	0.58985745
44	0.5874667029
45	0.5850762027
46	0.5829881395
47	0.5808503381
48	0.5789243166
49	0.5769017234
50	0.5748824756
51	0.5728601324
52	0.5707787207
53	0.568663765
54	0.5667078979
55	0.5645174436
56	0.5624223365
57	0.560368713
58	0.558359523
59	0.556098919
60	0.5540607996
61	0.5522231488
62	0.5500994692
63	0.5480060291
64	0.5460985146
65	0.5441937406
66	0.5423071311
67	0.5405092349
68	0.538643648
69	0.5366030954
70	0.534546971
71	0.532557169
72	0.5305788221
73	0.5284659452
74	0.5263404944
75	0.5243515912
76	0.5223955411
77	0.5204619119
78	0.518537306
79	0.5165450204
80	0.5148399753
81	0.5129629934
82	0.5110055373
83	0.5089696038
84	0.5070876109
85	0.5052485085
86	0.5034128402
87	0.5017669103
88	0.4998995608
89	0.4980775017
90	0.496196684
91	0.4943838889
92	0.4925265105
93	0.4906708763
94	0.4890491523
95	0.4873618114
96	0.4855741498
97	0.4839240838
98	0.4820866846
99	0.4802831567
100	0.47845833
101	0.4766749956
102	0.4749068145
103	0.4729554768
104	0.4711756866
105	0.4695039165
106	0.4678408252
107	0.4661755224
108	0.4643566118
109	0.4625214043
110	0.4606888674
111	0.4589996189
112	0.4574107968
113	0.455740122
114	0.454182347
115	0.452432725
116	0.4507745907
117	0.4491284749
118	0.4473077657
119	0.4456931527
120	0.4441519145
121	0.4424663128
122	0.4408982742
123	0.4391969349
124	0.437775421
125	0.4362627914
126	0.434625641
127	0.4330785454
128	0.4315825046
129	0.4302096381
130	0.4285993302
131	0.4270487255
132	0.4255495537
133	0.4241258787
134	0.4226396299
135	0.4209304166
136	0.4194320073
137	0.4178422587
138	0.4164121374
139	0.4149018541
140	0.4134879515
141	0.4121293087
142	0.410755913
143	0.4093672074
144	0.4078846754
145	0.4063314199
146	0.4047509156
147	0.4031770581
148	0.401705294
149	0.4002644008
150	0.3989064813
151	0.3975239492
152	0.3960957757
153	0.3946875933
154	0.3933017355
155	0.3919025596
156	0.3904745962
157	0.3890916205
158	0.3877572382
159	0.3863884028
160	0.3849820996
161	0.3836613411
162	0.3823570345
163	0.3811030796
164	0.3795700567
165	0.3782061351
166	0.3768633029
167	0.3755308945
168	0.3740994667
169	0.3728902037
170	0.3715123193
