iter	Passed	Remaining
0	162	44577
1	167	22918
2	173	15711
3	179	12145
4	193	10469
5	199	8937
6	205	7854
7	210	7032
8	217	6422
9	223	5929
10	229	5518
11	236	5187
12	243	4907
13	250	4672
14	257	4455
15	263	4270
16	270	4112
17	277	3964
18	284	3831
19	290	3708
20	296	3591
21	303	3487
22	309	3390
23	316	3309
24	322	3228
25	329	3154
26	335	3081
27	341	3015
28	348	2956
29	354	2898
30	361	2842
31	367	2787
32	373	2736
33	379	2687
34	385	2641
35	391	2598
36	397	2556
37	403	2514
38	409	2476
39	415	2440
40	421	2403
41	427	2373
42	433	2340
43	439	2308
44	446	2280
45	452	2250
46	458	2223
47	464	2198
48	470	2170
49	476	2145
50	482	2119
51	488	2094
52	495	2073
53	500	2049
54	506	2027
55	513	2006
56	518	1983
57	525	1966
58	531	1947
59	538	1928
60	544	1910
61	550	1890
62	556	1871
63	561	1852
64	567	1834
65	573	1817
66	579	1800
67	585	1783
68	591	1765
69	596	1746
70	602	1729
71	607	1712
72	613	1696
73	618	1680
74	624	1664
75	629	1648
76	632	1627
77	638	1613
78	644	1598
79	650	1584
80	655	1569
81	660	1554
82	665	1540
83	671	1526
84	676	1512
85	681	1498
86	687	1485
87	692	1471
88	697	1458
89	703	1446
90	709	1434
91	714	1420
92	719	1408
93	724	1395
94	730	1383
95	736	1372
96	741	1360
97	746	1348
98	752	1337
99	757	1326
100	763	1314
101	768	1303
102	774	1293
103	778	1279
104	783	1269
105	789	1258
106	795	1248
107	800	1238
108	806	1228
109	812	1218
110	817	1207
111	822	1197
112	828	1187
113	833	1177
114	839	1167
115	845	1158
116	850	1148
117	856	1139
118	860	1128
119	865	1118
120	871	1108
121	877	1100
122	882	1090
123	887	1080
124	892	1071
125	897	1061
126	903	1052
127	908	1043
128	913	1034
129	918	1025
130	924	1015
131	929	1007
132	934	998
133	940	989
134	946	981
135	952	973
136	957	964
137	963	956
138	968	947
139	973	939
140	980	931
141	986	924
142	992	916
143	998	908
144	1003	900
145	1009	891
146	1015	884
147	1020	875
148	1026	867
149	1031	859
150	1036	851
151	1042	843
152	1047	835
153	1053	827
154	1059	820
155	1064	812
156	1069	804
157	1075	796
158	1080	788
159	1083	778
160	1088	770
161	1093	762
162	1099	755
163	1105	748
164	1113	742
165	1119	735
166	1126	728
167	1133	722
168	1140	715
169	1146	708
170	1154	701
