iter	RMSE
0	4.984361819
1	4.963567442
2	4.945972922
3	4.932675331
4	4.916903224
5	4.900217863
6	4.886473335
7	4.863352679
8	4.84327684
9	4.822413661
10	4.803341015
11	4.787112107
12	4.770011479
13	4.748773684
14	4.730231115
15	4.711412508
16	4.696436686
17	4.679144773
18	4.660204732
19	4.64491767
20	4.625340683
21	4.604663154
22	4.587221
23	4.569354641
24	4.552870924
25	4.537044746
26	4.521481665
27	4.502484242
28	4.487579309
29	4.472872432
30	4.45323787
31	4.4389503
32	4.422819125
33	4.40675648
34	4.391126299
35	4.376442564
36	4.359577908
37	4.34716227
38	4.33093411
39	4.318365311
40	4.302633152
41	4.288546435
42	4.276360304
43	4.263022692
44	4.248933201
45	4.235279779
46	4.22335039
47	4.215164965
48	4.201771831
49	4.187159885
50	4.175062037
51	4.164506942
52	4.154270026
53	4.141375678
54	4.128815818
55	4.117052352
56	4.105959818
57	4.097499657
58	4.08795266
59	4.073491225
60	4.063486607
61	4.054486518
62	4.041768106
63	4.029080912
64	4.017187549
65	4.004087346
66	3.993347898
67	3.981290262
68	3.969567738
69	3.958232812
70	3.947011324
71	3.935379027
72	3.926141439
73	3.918256354
74	3.907144537
75	3.894890341
76	3.884519528
77	3.87308026
78	3.86365488
79	3.85281171
80	3.84259339
81	3.829180714
82	3.818359334
83	3.8072454
84	3.796409484
85	3.789547741
86	3.779918268
87	3.769273665
88	3.761750394
89	3.750335596
90	3.742394024
91	3.734344375
92	3.724971245
93	3.713684645
94	3.704159477
95	3.695247547
96	3.684355477
97	3.674767216
98	3.667724573
99	3.659749672
100	3.649277079
101	3.641778741
102	3.633955629
103	3.625584712
104	3.618153014
105	3.608879063
106	3.603014322
107	3.596122816
108	3.588928244
109	3.580574197
110	3.57111441
111	3.564515827
112	3.555964577
113	3.548406229
114	3.537667087
115	3.527781275
116	3.520510042
117	3.51296616
118	3.506411907
119	3.498293301
120	3.492584987
121	3.483367663
122	3.477646586
123	3.468825683
124	3.460926056
125	3.454288614
126	3.447224818
127	3.440758071
128	3.431399974
129	3.424323797
130	3.417821581
131	3.408648526
132	3.40201492
133	3.396417111
134	3.389776499
135	3.383811303
136	3.377606724
137	3.370034314
138	3.363015858
139	3.354398519
140	3.34956675
141	3.343187101
142	3.337123181
143	3.329897717
144	3.32404184
145	3.319087842
146	3.312734793
147	3.305199506
148	3.299622876
149	3.292605079
150	3.286201163
151	3.280949129
152	3.275280305
153	3.269419516
154	3.264426986
155	3.257724059
156	3.252915648
157	3.247892341
158	3.240944761
159	3.234816552
160	3.229303138
161	3.223863154
162	3.218241767
163	3.212861502
164	3.207867126
165	3.202381954
166	3.197508446
167	3.190331701
168	3.18447174
169	3.179691936
170	3.175154466
171	3.169014002
172	3.163245434
173	3.157276224
174	3.152624459
175	3.147809052
176	3.140876144
177	3.136472393
178	3.130045173
179	3.123949784
180	3.118617838
181	3.114176206
182	3.109551523
183	3.105046007
184	3.100005296
185	3.094456918
186	3.089870003
187	3.085989434
188	3.080630916
189	3.07302997
190	3.068398333
191	3.064432737
192	3.058946998
193	3.054173954
194	3.04907144
195	3.044519191
196	3.03947732
197	3.035480987
198	3.031672931
199	3.026278217
200	3.022074468
201	3.017101447
202	3.01253682
203	3.007875382
204	3.003347717
205	2.998055497
206	2.994770858
207	2.989448406
208	2.98565286
209	2.981875944
210	2.979309431
211	2.973226825
212	2.969550907
213	2.965068253
214	2.961116449
215	2.955998236
216	2.952238541
217	2.948566193
218	2.944487646
219	2.940669572
220	2.936993535
221	2.933944665
222	2.930208169
223	2.92614916
224	2.923139566
225	2.919534798
226	2.915893079
227	2.912097535
228	2.90777716
229	2.903995395
230	2.900719199
