iter	Passed	Remaining
0	368	91803
1	594	73719
2	842	69374
3	1079	66417
4	1330	65184
5	1580	64282
6	1826	63422
7	2071	62655
8	2302	61643
9	2553	61277
10	2790	60635
11	3040	60303
12	3379	61613
13	3657	61660
14	3909	61245
15	4158	60820
16	4395	60241
17	4654	59986
18	4892	59483
19	5143	59147
20	5390	58782
21	5630	58351
22	5866	57898
23	6096	57411
24	6323	56909
25	6628	57109
26	6876	56795
27	7124	56483
28	7369	56161
29	7624	55915
30	8046	56842
31	8288	56466
32	8534	56120
33	8785	55813
34	9097	55886
35	9368	55690
36	9624	55407
37	9880	55121
38	10135	54834
39	10422	54719
40	10682	54456
41	10942	54189
42	11197	53903
43	11442	53569
44	11704	53321
45	11954	53014
46	12190	52654
47	12434	52328
48	12692	52063
49	12942	51769
50	13194	51485
51	13438	51168
52	13686	50873
53	13992	50786
54	14234	50469
55	14465	50111
56	14715	49826
57	14953	49502
58	15195	49193
59	15449	48923
60	15698	48640
61	15931	48309
62	16183	48037
63	16427	47741
64	16665	47433
65	16903	47125
66	17140	46817
67	17383	46525
68	17621	46224
69	17871	45956
70	18099	45631
71	18389	45462
72	18627	45164
73	18869	44878
74	19104	44577
75	19358	44320
76	19604	44046
77	19847	43765
78	20078	43461
79	20319	43178
80	20546	42869
81	20778	42569
82	21009	42272
83	21242	41978
84	21464	41666
85	21745	41467
86	21982	41185
87	22208	40884
88	22435	40585
89	22663	40291
90	22905	40022
91	23142	39744
92	23367	39448
93	23662	39270
94	23967	39105
95	24207	38833
96	24450	38565
97	24683	38284
98	24917	38006
99	25146	37720
100	25420	37500
101	25669	37245
102	26052	37181
103	26312	36938
104	26576	36701
105	26881	36518
106	27111	36233
107	27372	35989
108	27624	35734
109	27883	35488
110	28694	35932
111	29370	36188
112	29823	36157
113	30244	36081
114	30659	35992
115	31071	35892
116	31452	35753
117	31843	35621
118	32237	35487
119	32677	35400
120	33118	35307
121	33501	35149
122	33922	35025
123	34324	34878
124	34741	34741
125	35118	34560
126	35507	34389
127	35935	34251
128	36397	34140
129	36903	34064
130	37303	33886
131	37704	33705
132	38108	33523
133	38493	33322
134	38894	33132
135	39304	32946
136	39737	32776
137	40157	32591
138	40562	32391
139	41069	32268
140	41470	32058
141	41876	31849
142	42256	31618
143	42642	31389
144	43100	31210
145	43506	30991
146	43920	30773
147	44330	30551
148	44727	30318
149	45102	30068
150	45486	29822
151	45883	29582
152	46264	29331
153	46726	29128
154	47116	28877
155	47493	28617
156	47895	28371
157	48293	28120
158	48691	27867
159	49083	27609
160	49485	27355
161	49876	27093
162	50302	26848
163	50717	26595
164	51210	26381
165	51675	26149
166	52075	25882
167	52477	25614
168	52934	25370
169	53337	25099
170	53763	24838
171	54195	24576
172	54610	24306
173	55032	24037
174	55438	23759
175	55817	23468
176	56431	23273
177	56852	22996
178	57344	22745
179	57788	22473
180	58233	22199
181	58756	21953
182	59174	21664
183	59847	21467
184	60270	21176
185	60726	20895
186	61140	20598
187	61533	20292
188	61974	20002
189	62376	19697
190	62783	19393
191	63246	19105
192	63636	18794
193	64029	18482
194	64441	18175
195	64842	17864
196	65282	17563
197	65674	17247
198	66064	16931
199	66450	16612
200	66856	16298
201	67301	15992
202	67694	15673
203	68087	15353
204	68472	15030
205	68860	14707
206	69254	14386
207	69643	14062
208	70069	13745
209	70485	13425
210	70943	13112
211	71358	12790
212	71799	12472
213	72264	12156
214	72715	11837
215	73102	11506
216	73509	11178
217	73887	10845
218	74263	10512
219	74673	10182
220	75044	9847
221	75531	9526
222	75958	9196
223	76342	8861
224	76868	8540
225	77320	8211
226	77881	7891
227	78375	7562
228	78823	7228
229	79338	6899
230	79882	6570
